PHRASE,CATEGORY
COMING TO AMERICA,MOVIE
DIE HARD,MOVIE
ALONG CAME A SPIDER,MOVIE
THE NOTEBOOK,MOVIE
AMERICAN PIE,MOVIE
THE HELP,MOVIE
ANGELS IN THE OUTFIELD,MOVIE
A GOOFY MOVIE,MOVIE
BAD BOYS,MOVIE
HALLOWEEN,MOVIE
MY WAY,SONG
THE THRILL IS GONE,SONG
DON'T STOP BELIEVING,SONG
GOD'S PLAN,SONG
MO MONEY MO PROBLEMS,SONG
SMELLS LIKE TEEN SPIRIT,SONG
SANTERIA,SONG
DO YOU REMEMBER THE TIME,SONG
ORDINARY PEOPLE,SONG
POLITICS AS USUAL,SONG
CHILDREN OF BLOOD AND BONE,BOOK
"RICH DAD, POOR DAD",BOOK
AUTOBIOGRAPHY OF MALCOLM X,BOOK
AMERICAN GODS,BOOK
THE SUBTLE ART OF NOT GIVING A F*CK,BOOK
THE FOUR AGREEMENTS,BOOK
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,BOOK
THE HATE YOU GIVE,BOOK
THE FIRE NEXT TIME,BOOK
HARRY POTTER AND THE SORCER'S STONE,BOOK
POD SAVE THE PEOPLE,PODCAST
SERIAL,PODCAST
CRIME JUNKIES,PODCAST
THE JOE ROGAN EXPERIENCE,PODCAST
ATLANTA MONSTER,PODCAST
BRILLIANT IDIOTS,PODCAST
JALEN AND JACOBY SHOW,PODCAST
ALL THE SMOKE,PODCAST
THIS AMERICAN LIFE,PODCAST
STUFF YOU SHOULD KNOW,PODCAST
CALL OF DUTY,VIDEO GAME
NBA JAM,VIDEO GAME
NFL BLITZ,VIDEO GAME
CRASH BANDICOOT,VIDEO GAME
EARTHWORM JIM,VIDEO GAME
TETRIS,VIDEO GAME
GOLDEN EYE,VIDEO GAME
MARIO CART,VIDEO GAME
SUPER SMASH BROTHERS,VIDEO GAME
MORTAL COMBAT,VIDEO GAME
NEED FOR SPEED,VIDEO GAME
